,Year,(semi-) final,Jury or Televoting,From country,To country,Points,2_minority_in_1
529,2014,sf1,J,Belgium,The Netherlands,10,0.0
530,2016,f,J,Belgium,The Netherlands,4,0.0
531,2016,f,T,Belgium,The Netherlands,10,0.0
532,1975,f,J,Belgium,Turkey,0,0.0
533,1978,f,J,Belgium,Turkey,0,0.0
534,1980,f,J,Belgium,Turkey,0,0.0
535,1981,f,J,Belgium,Turkey,0,0.0
536,1982,f,J,Belgium,Turkey,0,0.0
537,1983,f,J,Belgium,Turkey,0,0.0
538,1984,f,J,Belgium,Turkey,4,0.0
539,1985,f,J,Belgium,Turkey,1,0.0
540,1986,f,J,Belgium,Turkey,6,0.0
541,1987,f,J,Belgium,Turkey,0,0.0
542,1988,f,J,Belgium,Turkey,0,0.0
543,1989,f,J,Belgium,Turkey,0,0.0
544,1990,f,J,Belgium,Turkey,0,0.0
545,1991,f,J,Belgium,Turkey,0,0.0
546,1992,f,J,Belgium,Turkey,0,0.0
547,1993,f,J,Belgium,Turkey,0,0.0
548,1995,f,J,Belgium,Turkey,1,0.0
549,1996,f,J,Belgium,Turkey,5,0.0
550,1998,f,J,Belgium,Turkey,0,0.0
551,1999,f,J,Belgium,Turkey,0,0.0
552,2000,f,J,Belgium,Turkey,3,0.0
553,2002,f,J,Belgium,Turkey,0,0.0
554,2003,f,J,Belgium,Turkey,12,0.0
